kode_lelang,nama_lelang,kode_rup,tanggal_pembuatan,keterangan,tahapan_lelang,instansi,satuan_kerja,kategori,metode_pengadaan,metode_kualifikasi,metode_dokumen,metode_evaluasi,tahun_anggaran,tahun,pagu,hps,cara_pembayaran,pembebanan_ta,sumber_pendanaan,lokasi,kualifikasi_usaha,peserta_lelang,agency,satker,nama_pemenang,alamat,npwp,hasil_negosiasi,harga_penawaran,harga_terkoreksi,gagal_lelang
4542260,Pengadaan Alat Tulis Kantor,11633430,2017-09-08,NA,Lelang Sudah Selesai,Pemerintah Daerah Kota Bandung,BADAN KEPEGAWAIAN PENDIDIKAN DAN PELATIHAN,Pengadaan Barang,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2017   ,2017,254513145,231358038,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),Perusahaan Kecil,84,Pemerintah Daerah Kota Bandung,BADAN KEPEGAWAIAN PENDIDIKAN DAN PELATIHAN,CV. SODIKA WIJAYA,JALAN RANGKASBITUNG NO. 11 BANDUNG 40272  - Bandung (Kota) - Jawa Barat,01.883.604.9-424.000,NA,211058760,211020260,Tidak
4135260,Belanja Alat Tulis Kantor,11005893,2017-05-03,NA,Lelang Sudah Selesai,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN KEUANGAN DAN ASET,Pengadaan Barang,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2017,2017,722578379,722382125,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,Bandung - Bandung (Kota),Perusahaan Kecil,74,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN KEUANGAN DAN ASET,PT. DWITAMA SENTOSA,"Komp Ruko Tekstil Mangga Dua Blok C3 N. 6, Jl. Mangga Dua Raya, Pademangan, Jakarta Utara  - Jakarta Utara (Kota) - DKI Jakarta",03.125.301.6-044.000,NA,485131405,538702780,Tidak
4244260,Belanja Jasa Cleaning service,11367750,2017-06-09,NA,Lelang Sudah Selesai,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN PENDAPATAN DAERAH,Jasa Lainnya,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2017,2017,375363456,281522592,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,kota bandung - Bandung (Kota),Perusahaan Kecil,13,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN PENDAPATAN DAERAH,PT. NETTOYAGE SERVICES INDONESIA,JL.SUKASARI V no.E-5 SURYA SUMANTRI KOTA BANDUNG  - Bandung (Kota) - Jawa Barat,71.353.873.4-428.000,NA,281522592,281522592,Tidak
4462260,Belanja Jasa Konsultasi Penelitian-Analisa dan Evaluasi Pemungutan Pajak Daerah atau Survey Kepuasan Wajib Pajak Atas Pelayanan Pajak,12437947,2017-08-11,NA,Lelang Sudah Selesai,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN PENDAPATAN DAERAH,Jasa Konsultansi Badan Usaha,e-Seleksi Sederhana,Pascakualifikasi,Satu File,Biaya Terendah,APBD 2017,2017,116546100,116425100,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),NA,17,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN PENDAPATAN DAERAH,PT. KOKEK,Prapen Indah J-12a  - Surabaya (Kota) - Jawa Timur,02.377.095.1-615.000,NA,110660000,0,Tidak
4393260,Belanja Jasa Konsultasi (Perencanaan sistem informasi penerimaan retribusi daerah),11999277,2017-07-27,NA,Lelang Sudah Selesai,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN PENDAPATAN DAERAH,Jasa Konsultansi Badan Usaha,e-Seleksi Umum,Prakualifikasi,Dua File,Kualitas dan Biaya,APBD 2017,2017,305005600,305003978,Persentase,Tahun Tunggal,Pengadaan Tunggal,BPPD Kota Bandung - Bandung (Kota),NA,41,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN PENDAPATAN DAERAH,CV. BENTANG INSPIRA TEKNOLOGI,Jl. Merak Ngibing No. 12 Bandung  - Bandung (Kota) - Jawa Barat,21.083.155.8-423.000,NA,0,0,Tidak
4231260,Belanja jasa konsultasi penelitian (Survei Pajak Reklame),12162438,2017-05-31,NA,Lelang Sudah Selesai,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN PENDAPATAN DAERAH,Jasa Konsultansi Badan Usaha,e-Seleksi Umum,Prakualifikasi,Dua File,Kualitas dan Biaya,APBD 2017,2017,1060195000,1060194941,Persentase,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),NA,56,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN PENDAPATAN DAERAH,PT. MIRANTHI KONSULTAN PERMAI,Jl. Maleer Indah III No. 40 Bandung  - Bandung (Kota) - Jawa Barat,01.210.739.7-424.000,NA,0,0,Tidak
4233260,Belanja jasa konsultasi penelitian (Survey Pajak Hotel),12156963,2017-05-31,NA,Lelang Sudah Selesai,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN PENDAPATAN DAERAH,Jasa Konsultansi Badan Usaha,e-Seleksi Umum,Prakualifikasi,Dua File,Kualitas dan Biaya,APBD 2017,2017,648400000,648399946,Persentase,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),NA,63,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN PENDAPATAN DAERAH,PT. Mitrakawasa Konsulindo,jl. satria raya blok G no. 70 komp. cibolerang indah bandung  - Bandung (Kota) - Jawa Barat,02.081.281.4-422.000,NA,0,0,Tidak
4234260,Belanja jasa konsultasi penelitian (Survei Pajak Restoran),12150139,2017-05-31,NA,Lelang Sudah Selesai,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN PENDAPATAN DAERAH,Jasa Konsultansi Badan Usaha,e-Seleksi Umum,Prakualifikasi,Dua File,Kualitas dan Biaya,APBD 2017,2017,757800000,757799946,Persentase,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),NA,64,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN PENDAPATAN DAERAH,PT. DUNIA MAYA COMMUNICA,JL. CIBOLERANG NO. 15 Bandung  - Bandung (Kota) - Jawa Barat,02.083.962.7-422.000,NA,0,0,Tidak
4232260,Belanja jasa konsultasi penelitian (Survei Pajak Air Tanah),12150318,2017-05-31,NA,Lelang Sudah Selesai,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN PENDAPATAN DAERAH,Jasa Konsultansi Badan Usaha,e-Seleksi Umum,Prakualifikasi,Dua File,Kualitas dan Biaya,APBD 2017,2017,320100000,320099960,Persentase,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),NA,50,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN PENDAPATAN DAERAH,PT. Ahassa Ciptanika,Jl. Taman Sidoluhur No. 33 Bandung  - Bandung (Kota) - Jawa Barat,01.622.166.5-441.000,NA,0,0,Tidak
4238260,Belanja jasa konsultasi penelitian,12156804,2017-05-31,NA,Lelang Sudah Selesai,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN PENDAPATAN DAERAH,Jasa Konsultansi Badan Usaha,e-Seleksi Umum,Prakualifikasi,Dua File,Kualitas dan Biaya,APBD 2017,2017,320100000,320099960,Persentase,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),NA,50,Pemerintah Daerah Kota Bandung,BADAN PENGELOLAAN PENDAPATAN DAERAH,CV. BENTANG INSPIRA TEKNOLOGI,Jl. Merak Ngibing No. 12 Bandung  - Bandung (Kota) - Jawa Barat,21.083.155.8-423.000,NA,0,0,Tidak
