kode_lelang,nama_lelang,kode_rup,tanggal_pembuatan,keterangan,tahapan_lelang,instansi,satuan_kerja,kategori,metode_pengadaan,metode_kualifikasi,metode_dokumen,metode_evaluasi,tahun_anggaran,tahun,pagu,hps,cara_pembayaran,pembebanan_ta,sumber_pendanaan,lokasi,kualifikasi_usaha,peserta_lelang,agency,satker,nama_pemenang,alamat,npwp,hasil_negosiasi,harga_penawaran,harga_terkoreksi,gagal_lelang
1002260,Jasa Konsultansi Perencanaan Peningkatan Jalan Lingkungan,NA,2014-02-21,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Dinas Tata Ruang dan Cipta Karya,Jasa Konsultansi Badan Usaha,e-Seleksi Sederhana,Prakualifikasi,Satu File,Biaya Terendah,APBD 2014,2014,183000000,83078000,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),NA,27,LPSE Kota Bandung,Dinas Tata Ruang dan Cipta Karya,PT. NADIPUTRA PRATAMA,JL. LEAT NO. 4 - BANDUNG (KOTA) - JAWA BARAT,21.011.315.5-424.000,NA,71234000,69324000,Tidak
1003260,Jasa Konsultansi Perencanaan Sarana Air Bersih dan Sanitasi,625017,2014-02-21,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Dinas Tata Ruang dan Cipta Karya,Jasa Konsultansi Badan Usaha,e-Seleksi Umum,Prakualifikasi,Dua File,Kualitas dan Biaya,APBD 2014,2014,350000000,349748000,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),Pembobotan Kualitas dan Biaya,52,LPSE Kota Bandung,Dinas Tata Ruang dan Cipta Karya,PT. HEGAR DAYA,JL. TAMAN SATURNUS I NO.9 BANDUNG - BANDUNG (KOTA) - JAWA BARAT,01.118.674.9-441.000,NA,0,0,Tidak
1008260,Pengoperasian dan Perawatan Trans Metro Bandung Koridor 2 Cicaheum - Cibeureum,NA,2014-03-03,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Dinas Perhubungan,Jasa Lainnya,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2014,2014,2671532820,2536106433,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),Perusahaan Kecil dan Non Kecil,10,LPSE Kota Bandung,Dinas Perhubungan,DAMRI BANDUNG,JL. SOEKARNO HATTA NO. 787 GEDEBAGE - BANDUNG (KOTA) - JAWA BARAT,01.001.633.5-429.001,NA,2249551650,2249551650,Tidak
1007260,Pengoperasian dan Perawatan Trans Metro Bandung Koridor 1 Cibeureum - Cibiru,NA,2014-03-03,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Dinas Perhubungan,Jasa Lainnya,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2014,2014,2558466000,2523923460,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),Perusahaan Kecil dan Non Kecil,7,LPSE Kota Bandung,Dinas Perhubungan,DAMRI BANDUNG,JL. SOEKARNO HATTA NO. 787 GEDEBAGE - BANDUNG (KOTA) - JAWA BARAT,01.001.633.5-429.001,NA,2387098500,2387098500,Tidak
1009260,Jasa Konsultansi Perencanaan Pembangunan Gedung Rumah Sakit Khusus Gigi dan Mulut Kota Bandung,792674,2014-03-10,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Rumah Sakit Khusus Gigi dan Mulut,Jasa Konsultansi Badan Usaha,e-Seleksi Sederhana,Prakualifikasi,Satu File,Biaya Terendah,APBD 2014,2014,185957000,185938500,Persentase,Tahun Tunggal,Pengadaan Tunggal,Jl.L.L.R.E. Martadinata No. 45 Bandung - Bandung (Kota),NA,29,LPSE Kota Bandung,Rumah Sakit Khusus Gigi dan Mulut,PT. GELAR BUANA PERSADA,JL. SADANG TENGAH RAYA NO. 10 RT 009 RW 14 - BANDUNG (KOTA) - JAWA BARAT,01.450.058.1-423.000,NA,173776625,173776625,Tidak
1013260,Kajian Model Pengembangan Tematik Kewilayahan Berdasarkan Potensi Unggulan,NA,2014-03-12,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Badan Perencanaan Pembangunan Daerah Kota Bandung,Jasa Konsultansi Badan Usaha,e-Seleksi Umum,Prakualifikasi,Dua File,Kualitas dan Biaya,APBD 2014,2014,325000000,324181000,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),Pembobotan Kualitas dan Biaya,37,LPSE Kota Bandung,Badan Perencanaan Pembangunan Daerah Kota Bandung,PT. CITRA WAHANA KONSULTAN,JL. JENDERAL POL. SOEKANTO NO. 40A RT. 04 RW. 08 KEL. MALAKA SARI KEC. DUREN SAWIT - JAKARTA TIMUR (KOTA) - DKI JAKARTA,02.290.554.1-008.000,NA,0,0,Tidak
1014260,Belanja Premi Asuransi Kesehatan Pimpinan dan Anggota DPRD,NA,2014-03-14,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Sekretariat DPRD,Jasa Lainnya,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2014,2014,850000000,555000000,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,ULP Kota Bandung - Bandung (Kota),Perusahaan Kecil dan Non Kecil,11,NA,Sekretariat DPRD,NA,NA,NA,NA,NA,NA,Ya
1016260,Jasa Tenaga Petugas Tiket Koridor 1 Trans Metro Bandung (Cibeureum - Cibiru),NA,2014-03-18,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Dinas Perhubungan,Jasa Lainnya,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2014,2014,640000000,639963500,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),Perusahaan Kecil,13,NA,Dinas Perhubungan,NA,NA,NA,NA,NA,NA,Ya
1015260,Jasa Konsultan Manajemen Konstruksi Pembangunan Kantor Dinas Perhubungan Kota Bandung,NA,2014-03-18,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Dinas Perhubungan,Jasa Konsultansi Badan Usaha,e-Seleksi Umum,Prakualifikasi,Dua File,Kualitas dan Biaya,APBD 2014,2014,552048600,552000000,Persentase,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),Pembobotan Kualitas dan Biaya,22,LPSE Kota Bandung,Dinas Perhubungan,PT. ARIA GRAHA,JL. BOLA VOLLEY NO. 5 RT 009/010 ARCAMANIK - BANDUNG (KOTA) - JAWA BARAT,01.216.220.2-441.000,NA,0,0,Tidak
1017260,Jasa Tenaga Petugas Tiket Koridor 2 Trans Metro Bandung (Cicaheum - Cibeureum),NA,2014-03-18,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Dinas Perhubungan,Jasa Lainnya,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2014,2014,360000000,351257500,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),Perusahaan Kecil,11,NA,Dinas Perhubungan,NA,NA,NA,NA,NA,NA,Ya
