kode_lelang,nama_lelang,kode_rup,tanggal_pembuatan,keterangan,tahapan_lelang,instansi,satuan_kerja,kategori,metode_pengadaan,metode_kualifikasi,metode_dokumen,metode_evaluasi,tahun_anggaran,tahun,pagu,hps,cara_pembayaran,pembebanan_ta,sumber_pendanaan,lokasi,kualifikasi_usaha,peserta_lelang,agency,satker,nama_pemenang,alamat,npwp,hasil_negosiasi,harga_penawaran,harga_terkoreksi,gagal_lelang
2994260,Belanja Bahan Makanan Dan Minuman Pasien Bulan Januari - Juni 2016,5035789,2015-12-11,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Rumah Sakit Umum Daerah Kota Bandung,Jasa Lainnya,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,BLU 2016,2016,1000000000,996169790,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,RSUD Kota  Bandung - Bandung (Kota),Perusahaan Kecil,9,Agency ULP Kota Bandung,Rumah Sakit Umum Daerah Kota Bandung,CV.MAHADAYA CITRA,"VILLA PASIRWANGI BLOK I NO. 9 KEL. PASIRWANGI RT 001/009, KEC. UJUNG BERUNG, KOTA BANDUNG - BANDUNG (KOTA) - JAWA BARAT",02.497.194.7-424.000,NA,991966690,991966690,Tidak
2995260,Belanja Jasa Cleaning Service,5026929,2015-12-11,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Rumah Sakit Khusus Ibu dan Anak,Jasa Lainnya,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2016,2016,1200000000,1108172415,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,RKIA Kota Bandung - Bandung (Kota),Perusahaan Kecil,37,Agency ULP Kota Bandung,Rumah Sakit Khusus Ibu dan Anak,PT. PUTRI ARSANTI MANDIRI,JL. CIJAGRA 1C NO. 12 - BANDUNG (KOTA) - JAWA BARAT,70.426.533.9-424.000,NA,970141610,970142078,Tidak
2996260,Belanja Makan dan Minuman Pasien,5027086,2015-12-11,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Rumah Sakit Khusus Ibu dan Anak,Jasa Lainnya,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2016,2016,850000000,847417208,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,RKIA Kota Bandung - Bandung (Kota),Perusahaan Kecil,18,Agency ULP Kota Bandung,Rumah Sakit Khusus Ibu dan Anak,CV.WASTU KARYA,JL. SARIMADU BARAT NO. 11 A - BANDUNG (KOTA) - JAWA BARAT,31.270.593.2-428.000,NA,820922248,826270149,Tidak
2997260,Belanja Jasa Tenaga Pengamanan,5027006,2015-12-11,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Rumah Sakit Khusus Ibu dan Anak,Jasa Lainnya,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2016,2016,1200000000,1089814790,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,RKIA Kota Bandung - Bandung (Kota),Perusahaan Kecil,26,Agency ULP Kota Bandung,Rumah Sakit Khusus Ibu dan Anak,PT.YURIKA MANDIRI ABADI,JL. BURUJUL - RANJI NOMER 39 BLOK KAMIS KOSAMBI DESA BURUJUL WETAN KEC.JATIWANGI - MAJALENGKA (KAB.) - JAWA BARAT,71.680.358.0-438.000,NA,1028549673,1028550067,Tidak
2998260,Belanja Jasa Tenaga Pengamanan,5037194,2015-12-11,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Dinas Kesehatan,Jasa Lainnya,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2016,2016,2286175000,2263660410,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,Dinas Kesehatan Kota Bandung - Bandung (Kota),Perusahaan Kecil,28,Agency ULP Kota Bandung,Dinas Kesehatan,PT.MASADENTA,JL. SUMEDANG NO.10 - BANDUNG (KOTA) - JAWA BARAT,01.240.855.5-423.000,NA,2141390064,2141390064,Tidak
2999260,Belanja Jasa Cleaning Service dan Laundry,5037172,2015-12-11,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Dinas Kesehatan,Jasa Lainnya,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2016,2016,1500000000,1499984099,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,Dinas Kesehatan Kota Bandung - Bandung (Kota),Perusahaan Kecil,36,Agency ULP Kota Bandung,Dinas Kesehatan,PT DWITAMA PUTRA MANDIRI,"JL. BARU RAYA DALAM NO.64 RT 004 RW 003, CANGKUANGBARAT DAYEUHKOLOT - BANDUNG (KAB.) - JAWA BARAT",70.126.355.0-445.000,NA,1351900000,1351900000,Tidak
3000260,Belanja Jasa Tenaga Sopir Pengemudi Ambulance dan Pusling,5037210,2015-12-11,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Dinas Kesehatan,Jasa Lainnya,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2016,2016,2400000000,2332923424,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,Dinas Kesehatan Kota Bandung - Bandung (Kota),Perusahaan Kecil,14,Agency ULP Kota Bandung,Dinas Kesehatan,PT. PELAYANAN SEKURITI NUSANTARA,METRO TRADE CENTRE (MTC) BLOK I NO. 10 JL. SUKARNO-HATTA NO.590 BANDUNG - BANDUNG (KOTA) - JAWA BARAT,01.883.817.7-429.000,NA,2291497760,0,Tidak
3007260,"Jasa Pengamanan  di Lingkungan Balaikota, Rumah Dinas, Gedung PKK, Gedung KORPRI dan gedung Dharma Wanita",5054575,2015-12-11,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Bagian Umum dan Perlengkapan Setda,Jasa Lainnya,e-Lelang Umum,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2016,2016,5280050000,5242199959,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,"Balaikota, Rumah Dinas, Gedung PKK, Gedung KORPRI dan gedung Dharma Wanita - Bandung (Kota)",Perusahaan Non Kecil,28,Agency ULP Kota Bandung,Bagian Umum dan Perlengkapan Setda,PT. TRISULA WIBAWA,JL. DR JUNJUNAN DALAM NO: 8 B PASTEUR KEL PAJAJARAN KEC. CICENDO - BANDUNG (KOTA) - JAWA BARAT,02.244.542.3-428.000,NA,5178711000,0,Tidak
3013260,Penyediaan Cleaning Service,5057427,2015-12-11,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Dinas Pelayanan Pajak,Jasa Lainnya,e-Lelang Umum,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2016,2016,586179000,570507630,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,Kota Bandung - Bandung (Kota),Perusahaan Kecil,41,NA,Dinas Pelayanan Pajak,NA,NA,NA,NA,NA,NA,Ya
3014260,Pengadaan bahan kedokteran gigi secara lelang,5043143,2016-01-12,NA,Lelang Sudah Selesai,Agency ULP Kota Bandung,Rumah Sakit Khusus Gigi dan Mulut,Pengadaan Barang,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2016,2016,1535225000,1535195572,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,RSKGM Kota Bandung - Bandung (Kota),Perusahaan Kecil,34,Agency ULP Kota Bandung,Rumah Sakit Khusus Gigi dan Mulut,PT. ARCAMANIK MUSTIKA FARMA,JL. CITAMIANG NO. 59 B - BANDUNG (KOTA) - JAWA BARAT,02.065.206.1-423.000,NA,1524952000,0,Tidak
