kode_lelang,nama_lelang,kode_rup,tanggal_pembuatan,keterangan,tahapan_lelang,instansi,satuan_kerja,kategori,metode_pengadaan,metode_kualifikasi,metode_dokumen,metode_evaluasi,tahun_anggaran,tahun,pagu,hps,cara_pembayaran,pembebanan_ta,sumber_pendanaan,lokasi,kualifikasi_usaha,peserta_lelang,agency,satker,nama_pemenang,alamat,npwp,hasil_negosiasi,harga_penawaran,harga_terkoreksi,gagal_lelang
5260,J5-Peningkatan Jl. Simpang Indutri,NA,2013-02-19,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Dinas Bina Marga dan Pengairan,Pekerjaan Konstruksi,e-Lelang Pemilihan Langsung,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2013,2013,807550000,790198000,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,Kecamatan sukasari - Bandung (Kota),Perusahaan Kecil,9,LPSE Kota Bandung,Dinas Bina Marga dan Pengairan,CV.REY CONTRACTOR,JL. RIUNG SAUYUNAN VI NO. 97 RT. 011 RW. 009 RANCASARI - BANDUNG (KOTA) - JAWA BARAT,31.393.280.8-429.000,NA,726525708,726525708,Tidak
171260,B2-Peningkatan Jalan dan Saluran Trotoar Jl. Ahmad Yani Kota Bandung,NA,2013-02-21,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Dinas Bina Marga dan Pengairan,Pekerjaan Konstruksi,e-Lelang Pemilihan Langsung,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2013,2013,2976320000,2870072000,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,Kecamatan Cibeunying Kidul - Bandung (Kota),Perusahaan Non Kecil,28,LPSE Kota Bandung,Dinas Bina Marga dan Pengairan,DIAN,JL. SADU KALER NO. 35 SOREANG KAB. BANDUNG - BANDUNG (KAB.) - JAWA BARAT,01.280.137.9-441.000,NA,2525648120,2525648120,Tidak
374260,J126-Peningkatan Jl.Inggit Garnasih,NA,2013-04-24,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Dinas Bina Marga dan Pengairan,Pekerjaan Konstruksi,e-Lelang Pemilihan Langsung,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2013,2013,1331877000,1286628000,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,Kecamatan Regol - Bandung (Kota),Perusahaan Kecil,39,LPSE Kota Bandung,Dinas Bina Marga dan Pengairan,CV.MASSA CIPTA SARANA,JL. BEKAMIN NO.23 - BANDUNG (KOTA) - JAWA BARAT,01.241.279.7-423.000,NA,1042052000,1042052000,Tidak
452260,J140-Peningkatan Jl. Cipedes Tengah (Lanjutan),NA,2013-05-19,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Dinas Bina Marga dan Pengairan,Pekerjaan Konstruksi,e-Lelang Pemilihan Langsung,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2013,2013,808500000,769023000,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,Kecamatan Sukajadi - Bandung (Kota),Perusahaan Kecil,8,LPSE Kota Bandung,Dinas Bina Marga dan Pengairan,CV.GEMINI JAYA,JL. GEGERKALONGHILIR NO.197A RT/RW: 006/001 KEL. SARIAJDI KEC. SUKASARI - BANDUNG (KOTA) - JAWA BARAT,02.244.510.0-428.000,NA,615300000,615300000,Tidak
521260,Belanja Modal Alat-alat Kedokteran Bedah,NA,2013-05-20,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Rumah Sakit Umum Daerah Kota Bandung,Pengadaan Barang,e-Lelang Umum,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2013,2013,1982750000,1982750000,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,Jl Rumah Sakit No 22 Ujung Berung Bandung - Bandung (Kota),Perusahaan Kecil,36,LPSE Kota Bandung,Rumah Sakit Umum Daerah Kota Bandung,CV.SETIA GEMILANG,MARGAHAYU RAYA BARAT CIII NO.81M KOTA BANDUNG - BANDUNG (KOTA) - JAWA BARAT,09.437.021.0-428.001,NA,1974500000,1974500000,Tidak
571260,Pengadaan Alat-Alat Kedokteran Gigi,NA,2013-06-11,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Rumah Sakit Khusus Gigi dan Mulut,Pengadaan Barang,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2013,2013,683125000,682164780,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,RSKGM Kota Bandung - Bandung (Kota),Perusahaan Kecil,16,LPSE Kota Bandung,Rumah Sakit Khusus Gigi dan Mulut,PT. SICHER TORANO JAYA,JL.SUKADAMAI NO.4 TRS.PASTEUR BANDUNG - BANDUNG (KOTA) - JAWA BARAT,02.567.689.1-428.000,NA,663151000,663151000,Tidak
727260,Pembangunan Ruang Kelas Baru (RKB)   SMPN 55,NA,2013-08-07,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Dinas Pendidikan,Pekerjaan Konstruksi,e-Lelang Pemilihan Langsung,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2013,2013,1019850000,1018893000,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,KELURAHAN CIPADUNG WETAN - KECAMATAN PANYILEUKAN - Bandung (Kota),Perusahaan Kecil,35,LPSE Kota Bandung,Dinas Pendidikan,CV.GARMINDO,JL. CIKUTRA BLK NO. 306 BANDUNG - BANDUNG (KOTA) - JAWA BARAT,02.241.431.2-423.000,NA,913921000,0,Tidak
628260,SS-06 Bangunan Terjun Sungai Citepus Kecamatan Cicendo,NA,2013-06-25,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Dinas Bina Marga dan Pengairan,Pekerjaan Konstruksi,e-Lelang Pemilihan Langsung,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2013,2013,1314000000,1099843209,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,Kecamatan Cicendo - Bandung (Kota),Perusahaan Kecil,38,LPSE Kota Bandung,Dinas Bina Marga dan Pengairan,CV.NATISA,JL. NATUNA NO. 31 BANDUNG - BANDUNG (KOTA) - JAWA BARAT,01.435.916.0-423.000,NA,879875008,879875008,Tidak
772260,Belanja Modal Pengadaan Mebeulair,NA,2013-08-13,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Dinas Pemuda dan Olah Raga,Pengadaan Barang,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2013,2013,947000000,939852100,Lump Sum,Tahun Tunggal,Pengadaan Tunggal,Dispora - Bandung (Kota),Perusahaan Kecil dan Non Kecil,103,LPSE Kota Bandung,Dinas Pemuda dan Olah Raga,PT. KING 8,JL.MARZUKI VII/18 RT.002/014 KEL. PENGGILINGAN KEC. CAKUNG - JAKARTA TIMUR (KOTA) - DKI JAKARTA,02.998.715.3-004.000,NA,556185850,556185850,Tidak
889260,PKP1-Pengadaan Tanaman Hias,NA,2013-09-18,NA,Lelang Sudah Selesai,LPSE Kota Bandung,Dinas Pemakaman dan Pertamanan,Pengadaan Barang,e-Lelang Sederhana,Pascakualifikasi,Satu File,Sistem Gugur,APBD 2013,2013,500000000,499999500,Harga Satuan,Tahun Tunggal,Pengadaan Tunggal,Jl Seram No.2 - Bandung (Kota),Perusahaan Kecil,27,LPSE Kota Bandung,Dinas Pemakaman dan Pertamanan,CV.DIMAS,JL. KOLONEL MASTURI NO. 327 DS. KERTAWANGI KEC. CISARUA - BANDUNG (KAB.) - JAWA BARAT,02.011.679-421.000,NA,336545000,336545000,Tidak
